Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1661356322,50,GET,users-docker,15.600000,0.000000,660,770,840,910,1100,1700,2500,4000,4300,4300,4300,592,0,300.0,428.37997212837854,27.584099999998557,4574.3349,2.0
1661356322,50,GET,users-pythonanywhere,0.500000,0.000000,12000,12000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13,0,9700.0,9251.464815384617,5330.935,12919.032900000002,28519.0
1661356322,50,,Aggregated,32.100000,0.000000,660,780,880,970,1500,2900,11000,12000,13000,13000,13000,1186,0,300.0,648.4272159359184,27.206500000000133,12919.032900000002,853.0784148397977
1661356327,50,GET,orders-docker,15.900000,0.000000,650,750,800,850,980,1200,1800,1900,2200,2200,2200,652,0,340.0,430.1208504601228,27.206500000000133,4024.695300000001,2.0
1661356327,50,GET,orders-pythonanywhere,0.900000,0.000000,13000,14000,14000,15000,17000,17000,17000,17000,17000,17000,17000,23,0,11000.0,10813.4785,4212.772800000002,16713.713799999998,35483.0
1661356327,50,GET,users-docker,18.100000,0.000000,670,750,810,870,1100,1800,3700,4000,4300,4300,4300,679,0,340.0,472.0333918998527,27.584099999998557,4574.3349,2.0
1661356327,50,GET,users-pythonanywhere,0.500000,0.000000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,14,0,9700.0,9518.590657142859,5330.935,12991.226600000002,28519.0
1661356327,50,,Aggregated,35.400000,0.000000,670,770,840,900,1500,3700,13000,14000,17000,17000,17000,1368,0,350.0,718.5085835526319,27.206500000000133,16713.713799999998,890.3779239766081
1661356332,50,GET,orders-docker,16.500000,0.000000,630,730,800,830,930,1100,1600,1700,1800,1800,1800,735,0,380.0,452.54493972789123,27.206500000000133,4024.695300000001,2.0
1661356332,50,GET,orders-pythonanywhere,1.000000,0.000000,17000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,27,0,11000.0,11780.230633333334,4212.772800000002,18189.2356,35483.0
